,ext_closeness,ext_degree,internal,n_people,total_worktime
1,0.4421052631578947,0.7380952380952381,0.5392485678683425,2.0,600.0
2,0.4864864864864865,0.9444444444444444,0.3293446130825737,8.0,1260.0
4,0.7962962962962963,0.7441860465116279,1.0,1.0,1530.0
7,0.7818181818181819,0.7209302325581395,1.0,1.0,15.0
16,0.5970149253731343,0.775,0.48586758609387176,4.0,2085.0
17,0.7,0.7857142857142857,0.6963349773049246,2.0,690.0
32,0.6,0.5238095238095238,0.682483312629381,2.0,360.0
33,0.7678571428571429,0.6976744186046512,1.0,1.0,210.0
39,0.47297297297297297,0.8857142857142857,0.33128906964401,9.0,20310.0
41,0.5316455696202531,0.7380952380952381,0.7047514813804693,2.0,12660.0
44,0.8431372549019608,0.813953488372093,1.0,1.0,375.0
50,0.5283018867924528,1.0,0.2351433964264063,16.0,4020.0
61,0.5909090909090909,0.8461538461538461,0.4304242201445197,5.0,1200.0
67,0.48333333333333334,0.9310344827586207,0.25379223210026863,15.0,24150.0
70,0.49206349206349204,0.9032258064516129,0.25852474486228505,13.0,1680.0
71,0.6333333333333333,0.9210526315789473,0.3892664027271982,6.0,1680.0
72,0.5254237288135594,1.0,0.25813489747318497,13.0,5040.0
73,0.5692307692307692,0.918918918918919,0.35775885632558413,7.0,4755.0
74,0.5833333333333334,0.9714285714285714,0.30830323468677684,9.0,2955.0
75,0.5,1.0,0.22818705790614277,14.0,2610.0
76,0.4915254237288136,0.9655172413793104,0.242354351998043,15.0,3600.0
78,0.5,1.0,0.30833563099680605,9.0,4372.0
118,0.4421052631578947,0.7380952380952381,0.539353567189057,2.0,240.0
135,0.7166666666666667,0.6046511627906976,1.0,1.0,3510.0
141,0.4788732394366197,0.9117647058823529,0.3144826549887161,10.0,51887.0
144,0.711864406779661,0.8809523809523809,0.7057800371853342,2.0,75.0
159,0.6612903225806451,0.7560975609756098,0.5665829328759179,3.0,450.0
162,0.7543859649122807,0.6744186046511628,1.0,1.0,30.0
168,0.5060240963855421,0.6904761904761905,0.7031031358253464,2.0,90.0
171,0.7962962962962963,0.7441860465116279,1.0,1.0,60.0
173,0.711864406779661,0.6428571428571429,0.7043509101299958,2.0,11580.0
174,0.7818181818181819,0.7209302325581395,1.0,1.0,165.0
176,0.5205479452054794,0.9210526315789473,0.40610555393736875,6.0,14520.0
177,0.8431372549019608,0.813953488372093,1.0,1.0,180.0
178,0.5205479452054794,0.8947368421052632,0.3947306172996308,6.0,8847.0
180,0.5901639344262295,1.0,0.3032441783648341,8.0,1125.0
184,0.7962962962962963,0.7441860465116279,1.0,1.0,510.0
189,0.47560975609756095,0.8974358974358975,0.4421477170817692,5.0,9495.0
190,0.6029411764705882,0.8292682926829268,0.5721494045495673,3.0,5940.0
191,0.7962962962962963,0.7441860465116279,1.0,1.0,390.0
193,0.7818181818181819,0.7209302325581395,1.0,1.0,90.0
194,0.6,0.7619047619047619,0.5845326612753596,2.0,315.0
195,0.625,0.975,0.4928587768051149,4.0,240.0
196,0.5616438356164384,0.8292682926829268,0.5016971461923623,3.0,255.0
197,0.7,0.8571428571428571,0.7053794864423077,2.0,645.0
198,0.6774193548387096,0.6904761904761905,0.6518352795882754,2.0,60.0
199,0.7166666666666667,0.6046511627906976,1.0,1.0,30.0
200,0.7678571428571429,0.6976744186046512,1.0,1.0,877.0
